pregunta,respuesta_1,respuesta_2,respuesta_3,respuesta_4,respuesta_correcta
¿Quién fue el capitán de Francia durante el torneo?,Raphaël Varane,Antoine Griezmann,Hugo Lloris,Kylian Mbappé,3
¿Qué técnico dirigió a Marruecos a las semifinales?,Walid Regragui,Vahid Halilhodžić,Hervé Renard,Aliou Cissé,1
¿Qué jugador brasileño marcó el gol decisivo contra Corea del Sur?,Neymar Jr.,Richarlison,Vinícius Jr.,Casemiro,3
¿Qué selección venció a Japón en penales durante octavos de final?,Croacia,Brasil,España,Corea del Sur,1
¿Qué equipo anotó más goles en un solo partido durante el torneo?,España,Francia,Brasil,Argentina,1
¿Qué selección perdió tres partidos seguidos en la fase de grupos?,Catar,Canadá,Gales,Túnez,1
¿Qué jugador marcó el último gol del torneo?,Lionel Messi,Gonzalo Montiel,Kylian Mbappé,Julián Álvarez,3
¿Qué técnico ganó la Copa del Mundo 2022?,Lionel Scaloni,Didier Deschamps,Tite,Zlatko Dalić,1
¿Qué selección clasificó gracias a un polémico penal contra Portugal?,Corea del Sur,Uruguay,Suiza,Ghana,1
¿Qué árbitro dirigió la final entre Argentina y Francia?,Daniele Orsato,Szymon Marciniak,Antonio Mateu Lahoz,César Ramos,2
¿Qué selección lideró el Grupo H?,Portugal,Uruguay,Corea del Sur,Ghana,1
¿Qué jugador argentino anotó un doblete en semifinales contra Croacia?,Lionel Messi,Julián Álvarez,Ángel Di María,Rodrigo De Paul,2
¿Qué selección avanzó a octavos gracias a diferencia de goles con 4 puntos?,Corea del Sur,Japón,Polonia,Senegal,3
¿Qué selección marcó su único gol del torneo en tiempo de descuento?,Irán,Catar,Gales,Costa Rica,4
¿Qué jugador igualó el récord de más penales anotados en un Mundial?,Kylian Mbappé,Lionel Messi,Cristiano Ronaldo,Harry Kane,2
¿Qué selección eliminó a Alemania y España en fase de grupos?,Japón,Costa Rica,Marruecos,Corea del Sur,1
¿Qué jugador de Marruecos marcó un gol decisivo contra Portugal?,Hakim Ziyech,Youssef En-Nesyri,Achraf Hakimi,Sofyan Amrabat,2
